CarTurnLog -- start condition -- 
 mTarget, -1230.295410,-510.817566
 mAngleToTarget, 2.244185
 mMoveAngleError, -3.141021
 mDistError, 0.620492
 mMoveAngleSgn, -1.000000
 mShoulderAngleError, -3.050342
 mShoulderAngleSgn, -1.000000
 mPosition, -1229.908447,-510.332520
 mIsPerfect, 0

CarTurnLog -- iterations -- 
 mPositionX, mPositionZ, mMoveAngle, mShoulderAngle, mSpeed, mT, mDistToTarget, mAngleToTarget, mMoveAngleError, mAbsMoveAngleError, mShoulderAngleError, mAbsShoulderAngleError
-1222.719971, -500.953247, -0.935095, 2.244445, 0.101926, 118.000000, 12.437527, 2.225695, -3.122396, 3.122396, 0.000000, 0.000000
-1222.598999, -500.789154, -0.935735, 2.244445, 0.101926, 120.000000, 12.641353, 2.225379, -3.122072, 3.122072, 0.000000, 0.000000
-1222.478149, -500.624969, -0.936374, 2.244445, 0.101926, 122.000000, 12.845178, 2.225060, -3.121751, 3.121751, 0.000000, 0.000000
-1222.357422, -500.460693, -0.937014, 2.244445, 0.101926, 124.000000, 13.049003, 2.224740, -3.121431, 3.121431, 0.000000, 0.000000
-1222.236816, -500.296356, -0.937654, 2.244445, 0.101926, 126.000000, 13.252803, 2.224420, -3.121111, 3.121111, 0.000000, 0.000000
-1222.116333, -500.131927, -0.938294, 2.244445, 0.101926, 128.000000, 13.456603, 2.224098, -3.120793, 3.120793, 0.000000, 0.000000
-1221.995972, -499.967438, -0.938934, 2.244445, 0.101926, 130.000000, 13.660379, 2.223776, -3.120476, 3.120476, 0.000000, 0.000000
-1221.875732, -499.802856, -0.939574, 2.244445, 0.101926, 132.000000, 13.864155, 2.223452, -3.120160, 3.120160, 0.000000, 0.000000
-1221.755493, -499.638214, -0.940214, 2.244445, 0.101926, 134.000000, 14.067981, 2.223135, -3.119837, 3.119837, 0.000000, 0.000000
-1221.635376, -499.473480, -0.940854, 2.244445, 0.101926, 136.000000, 14.271807, 2.222816, -3.119515, 3.119515, 0.000000, 0.000000
-1221.515381, -499.308685, -0.941494, 2.244445, 0.101926, 138.000000, 14.475609, 2.222497, -3.119195, 3.119195, 0.000000, 0.000000
-1221.395508, -499.143799, -0.942134, 2.244445, 0.101926, 140.000000, 14.679411, 2.222177, -3.118875, 3.118875, 0.000000, 0.000000
-1221.275757, -498.978851, -0.942774, 2.244445, 0.101926, 142.000000, 14.883189, 2.221856, -3.118556, 3.118556, 0.000000, 0.000000
-1221.156128, -498.813812, -0.943414, 2.244445, 0.101926, 144.000000, 15.086967, 2.221534, -3.118238, 3.118238, 0.000000, 0.000000
-1221.036621, -498.648712, -0.944053, 2.244445, 0.101926, 146.000000, 15.290722, 2.221211, -3.117921, 3.117921, 0.000000, 0.000000
-1220.917114, -498.483521, -0.944693, 2.244445, 0.101926, 148.000000, 15.494551, 2.220894, -3.117598, 3.117598, 0.000000, 0.000000
-1220.797729, -498.318268, -0.945333, 2.244445, 0.101926, 150.000000, 15.698356, 2.220576, -3.117276, 3.117276, 0.000000, 0.000000
-1220.678467, -498.152924, -0.945973, 2.244445, 0.101926, 152.000000, 15.902162, 2.220257, -3.116955, 3.116955, 0.000000, 0.000000
-1220.559326, -497.987518, -0.946613, 2.244445, 0.101926, 154.000000, 16.105946, 2.219938, -3.116635, 3.116635, 0.000000, 0.000000
-1220.440308, -497.822021, -0.947253, 2.244445, 0.101926, 156.000000, 16.309727, 2.219617, -3.116316, 3.116316, 0.000000, 0.000000
-1220.321411, -497.656464, -0.947893, 2.244445, 0.101926, 158.000000, 16.513489, 2.219296, -3.115997, 3.115997, 0.000000, 0.000000
